Date,Link,Message
2022-04-07 15:11:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917783469246873600,Thanks bro 🤝Sai Babu Chowdary Jasti 
2022-04-07 10:36:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6917764503258492928,Sundarraj T ✌️🤝
2022-04-06 12:55:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6917452355105865728,congrats Arindam .....
2022-04-05 23:50:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912743187035926528,HDFC Bank Axis Bank ICICI Bank
2022-04-05 00:13:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6916738182311006210,Good going...
2022-04-05 00:04:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6916741650430009344,joy dev
2022-04-02 13:46:21,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915244520754282496,OnePlus
2022-04-02 06:04:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6912648748611309568,😅
2022-04-02 03:46:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915611111903961088,Sai Babu Chowdary Jasti
2022-04-01 12:51:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915626956407345152,✍️Gourav Sikka✍️  good content...
My question is does the snowflake to be considered as datalake?
2022-03-31 15:44:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915167500900913152,Surabhi Ambastha
2022-03-31 11:52:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6915263887990755328,Congratulations surbhi....
2022-03-31 03:02:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915019959916011520,Manjunath S By the way it's not Sir Ratan Tata Quote..once he said in the interview..
2022-03-28 03:25:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913786369777553408,Bala Karthikeyan  Some companies are specific to certification senarios so we can't let hr to take it from their mind ...
